date,cost,mult,pnl
2026-01-01,83,0.0,-83
2026-01-01,18,0.0,-18
2026-01-01,22,0.0,-22
2026-01-02,79,0.0,-79
2026-01-02,194,0.0,-194
2026-01-02,109,0.0,-109
2026-01-02,185,0.0,-185
2026-01-02,78,0.0,-78
2026-01-02,121,0.0,-121
2026-01-02,90,0.0,-90
2026-01-02,18,0.0,-18
2026-01-02,48,0.0,-48
2026-01-02,96,0.0,-96
2026-01-02,137,0.0,-137
2026-01-02,192,0.0,-192
2026-01-04,93,0.0,-93
2026-01-04,28,0.0,-28
2026-01-04,90,0.0,-90
2026-01-05,75,0.0,-75
2026-01-05,180,0.0,-180
2026-01-05,98,0.0,-98
2026-01-05,156,0.0,-156
2026-01-05,62,0.0,-62
2026-01-05,117,0.0,-117
2026-01-05,67,0.0,-67
2026-01-05,12,0.0,-12
2026-01-05,56,0.0,-56
2026-01-05,92,0.0,-92
2026-01-05,137,0.0,-137
2026-01-05,125,0.0,-125
2026-01-06,58,0.0,-58
2026-01-06,164,0.0,-164
2026-01-06,123,0.0,-123
2026-01-06,189,0.0,-189
2026-01-06,64,0.0,-64
2026-01-06,107,0.0,-107
2026-01-06,67,0.0,-67
2026-01-06,14,0.0,-14
2026-01-06,55,0.0,-55
2026-01-06,92,0.0,-92
2026-01-06,134,0.0,-134
2026-01-06,178,0.0,-178
2026-01-07,56,0.0,-56
2026-01-07,117,0.0,-117
2026-01-07,140,0.0,-140
2026-01-07,138,0.0,-138
2026-01-07,64,0.0,-64
2026-01-07,113,0.0,-113
2026-01-07,67,0.0,-67
2026-01-07,12,0.0,-12
2026-01-07,47,0.0,-47
2026-01-07,111,0.0,-111
2026-01-07,153,0.0,-153
2026-01-07,187,0.0,-187
2026-01-08,42,0.0,-42
2026-01-08,170,0.0,-170
2026-01-08,105,0.0,-105
2026-01-08,73,0.0,-73
2026-01-08,60,0.0,-60
2026-01-08,115,0.0,-115
2026-01-08,66,0.0,-66
2026-01-08,13,0.0,-13
2026-01-08,52,0.0,-52
2026-01-08,111,0.0,-111
2026-01-08,150,0.0,-150
2026-01-08,197,0.0,-197
2026-01-09,69,0.0,-69
2026-01-09,156,0.0,-156
2026-01-09,95,0.0,-95
2026-01-09,66,0.0,-66
2026-01-09,64,0.0,-64
2026-01-09,109,0.0,-109
2026-01-09,65,0.0,-65
2026-01-09,14,0.0,-14
2026-01-09,39,0.0,-39
2026-01-09,117,0.0,-117
2026-01-09,145,0.0,-145
2026-01-09,167,0.0,-167
2026-01-11,55,0.0,-55
2026-01-11,19,0.0,-19
2026-01-11,49,0.0,-49
2026-01-12,59,0.0,-59
2026-01-12,151,0.0,-151
2026-01-12,99,0.0,-99
2026-01-12,145,0.0,-145
2026-01-12,58,0.0,-58
2026-01-12,84,0.0,-84
2026-01-12,73,0.0,-73
2026-01-12,14,0.0,-14
2026-01-12,117,0.0,-117
2026-01-12,111,0.0,-111
2026-01-12,188,0.0,-188
2026-01-12,176,0.0,-176
2026-01-13,62,0.0,-62
2026-01-13,137,0.0,-137
2026-01-13,85,0.0,-85
2026-01-13,156,0.0,-156
2026-01-13,42,0.0,-42
2026-01-13,82,0.0,-82
2026-01-13,56,0.0,-56
2026-01-13,15,0.0,-15
2026-01-13,121,0.0,-121
2026-01-13,117,0.0,-117
2026-01-13,157,0.0,-157
2026-01-13,192,0.0,-192
2026-01-14,103,0.0,-103
2026-01-14,122,0.0,-122
2026-01-14,82,0.0,-82
2026-01-14,171,0.0,-171
2026-01-14,120,0.0,-120
2026-01-14,165,0.0,-165
2026-01-14,176,0.0,-176
2026-01-14,58,0.0,-58
2026-01-14,106,0.0,-106
2026-01-14,105,0.0,-105
2026-01-14,158,0.0,-158
2026-01-14,186,0.0,-186
2026-01-15,61,0.0,-61
2026-01-15,124,0.0,-124
2026-01-15,121,0.0,-121
2026-01-15,147,0.0,-147
2026-01-15,47,0.0,-47
2026-01-15,80,0.0,-80
2026-01-15,61,0.0,-61
2026-01-15,16,0.0,-16
2026-01-15,39,0.0,-39
2026-01-15,120,0.0,-120
2026-01-15,145,0.0,-145
2026-01-15,177,0.0,-177
2026-01-16,51,0.0,-51
2026-01-16,113,0.0,-113
2026-01-16,53,0.0,-53
2026-01-16,160,0.0,-160
2026-01-16,98,0.0,-98
2026-01-16,65,0.0,-65
2026-01-16,67,0.0,-67
2026-01-16,17,0.0,-17
2026-01-16,141,0.0,-141
2026-01-16,115,0.0,-115
2026-01-16,144,0.0,-144
2026-01-16,180,0.0,-180
2026-01-19,35,0.0,-35
2026-01-19,16,0.0,-16
2026-01-20,94,0.0,-94
2026-01-20,144,0.0,-144
2026-01-20,118,0.0,-118
2026-01-20,130,0.0,-130
2026-01-20,152,0.0,-152
2026-01-20,127,0.0,-127
2026-01-20,119,0.0,-119
2026-01-20,146,0.0,-146
2026-01-20,185,0.0,-185
2026-01-20,182,0.0,-182
2026-01-20,106,0.0,-106
2026-01-20,157,0.0,-157
2026-01-20,193,0.0,-193
2026-01-21,103,0.0,-103
2026-01-21,123,0.0,-123
2026-01-21,144,0.0,-144
2026-01-21,116,0.0,-116
2026-01-21,118,0.0,-118
2026-01-21,133,0.0,-133
2026-01-21,138,0.0,-138
2026-01-21,38,0.0,-38
2026-01-21,166,0.0,-166
2026-01-21,89,0.0,-89
2026-01-21,186,0.0,-186
2026-01-21,153,0.0,-153
2026-01-22,28,0.0,-28
2026-01-22,114,0.0,-114
2026-01-22,160,0.0,-160
2026-01-22,72,0.0,-72
2026-01-22,27,0.0,-27
2026-01-22,72,0.0,-72
2026-01-22,118,0.0,-118
2026-01-22,56,0.0,-56
2026-01-22,14,0.0,-14
2026-01-22,30,0.0,-30
2026-01-22,92,0.0,-92
2026-01-22,162,0.0,-162
